PM2.5,PM10,O3,SO2,CO,Wind Speed,Temp
27.0,40.0,2.0,2.0,66.0,10.0,30.0
23.0,31.0,23.0,10.0,280.0,9.0,31.0
32.0,46.0,9.0,22.0,1118.0,12.0,29.0
8.666666666666666,17.0,9.0,1.0,160.0,19.0,26.0
13.0,17.0,11.0,1.0,127.0,3.0,24.0
8.666666666666666,17.0,9.0,1.0,160.0,19.0,32.0
26.0,37.0,17.333333333333332,12.0,595.6666666666666,19.0,27.0
26.0,37.0,17.333333333333332,12.0,595.6666666666666,19.0,27.0
25.0,34.0,2.0,10.0,103.0,2.0,29.0
31.0,45.0,14.666666666666666,6.666666666666667,445.3333333333333,6.0,26.0
25.0,34.0,2.0,10.0,103.0,3.0,26.0
31.0,45.0,17.666666666666668,12.666666666666666,606.0,6.0,26.0
13.0,17.0,1.0,1.0,127.0,2.0,21.0
17.0,21.0,1.0,9.0,116.0,2.0,22.0
16.0,23.0,11.0,14.0,126.0,7.0,30.0
16.0,18.0,11.0,45.0,160.0,4.0,24.0
16.0,23.0,11.0,14.0,126.0,5.0,25.0
16.0,23.0,11.0,14.0,126.0,5.0,31.0
16.0,23.0,11.0,14.0,126.0,7.0,31.0
19.0,29.0,17.0,14.0,210.0,5.0,30.0
16.0,23.0,11.0,14.0,126.0,8.0,31.0
19.0,29.0,17.0,14.0,210.0,6.0,32.0
16.0,23.0,11.0,14.0,126.0,4.0,24.0
19.0,29.0,17.0,14.0,210.0,8.0,32.0
16.0,23.0,11.0,14.0,126.0,5.0,25.0
52.0,75.0,8.0,6.0,285.0,4.0,28.0
57.0,84.0,6.0,5.0,203.0,8.0,26.0
16.0,27.0,11.0,12.0,400.0,3.0,28.0
57.0,84.0,6.0,5.0,203.0,8.0,26.0
57.0,84.0,6.0,5.0,203.0,6.0,27.0
16.0,27.0,11.0,12.0,400.0,4.0,28.0
57.0,84.0,6.0,5.0,203.0,5.0,27.0
57.0,84.0,6.0,5.0,203.0,7.0,27.0
16.0,27.0,11.0,12.0,400.0,4.0,28.0
46.0,66.0,12.333333333333334,7.333333333333333,478.0,4.0,27.0
57.0,84.0,6.0,5.0,203.0,7.0,26.0
24.0,68.0,17.0,8.0,920.0,21.0,31.0
27.0,45.0,15.0,8.0,534.0,20.0,31.0
28.0,46.0,17.0,6.0,518.0,17.0,31.0
28.0,46.0,17.0,6.0,518.0,12.0,30.0
